-28;-13;-2;-56;-27;22;-19;-53;46;-20;-37;2;99;-34;-68;-89;57;3;-53;-78;52;-80;-28;-44;15;-35;8;79;26;-21;-90;-22;68;22;49
54;-38;76;-23;9;69;100;66;-46;68;65;-53;41;-77;-31;96;11;88;92;12;65;73;-13;12;-42;-38;-73;36;-74;-57;15;-55;56;80;-41
80;-17;65;47;-10;56;58;42;-43;76;82;22;31;-50;83;-93;-13;93;-16;34;20;100;36;27;70;-85;-24;-77;-19;-17;32;65;36;-77;-3
-60;54;-94;-6;50;-69;57;12;25;-84;-77;24;67;-17;2;-91;-94;-18;66;-88;-93;91;100;-83;86;100;8;78;54;36;48;63;33;3;82
88;59;-30;-43;20;-53;67;35;-19;-49;-15;62;-81;0;57;-61;30;85;62;48;57;-73;-51;-4;77;57;-66;91;19;80;-58;-59;-62;86;33
-16;-97;-14;-79;87;-19;8;-99;69;-4;25;39;33;-98;62;47;25;94;69;-72;65;-6;59;-42;-26;62;55;66;4;18;30;-56;87;7;57
-45;-17;21;10;18;46;22;-83;31;-36;34;-90;25;96;85;88;32;-70;3;-11;99;-84;95;-93;-52;93;-92;85;31;-67;98;16;-84;-15;57
77;7;-34;19;86;3;71;-34;21;72;45;87;-13;27;18;54;-92;-67;41;99;18;41;-4;-99;-14;43;-7;77;48;72;-9;47;-51;-81;-46
-36;19;-13;-46;23;-21;-73;49;-25;95;65;-66;-12;53;-24;30;-18;31;-45;-99;-46;65;-17;-86;65;-19;94;-14;-66;-72;37;-54;-51;-75;-82
-21;-54;-2;54;-94;12;-97;7;-6;-69;-56;-68;43;-88;71;22;84;8;9;-88;40;-54;-99;43;45;28;-24;-45;51;27;28;37;-20;70;1
-50;51;47;-63;92;-30;85;44;51;43;-66;-17;41;85;24;7;89;52;-33;17;-33;-49;-38;-21;-57;-54;34;-11;39;-19;3;-88;-51;-89;-14
-5;-100;-58;-27;86;-76;29;75;84;-9;-70;83;-78;-59;-10;30;-38;76;3;-34;-51;-95;-37;-30;-11;-11;58;-5;-29;51;-26;-45;-76;-50;-68
-17;44;97;81;20;34;89;-26;-88;13;27;8;5;41;37;-51;48;53;82;72;-61;-44;-59;45;81;-55;25;-20;49;-25;37;32;-7;48;-56
-74;70;82;37;-91;-41;46;-92;-64;62;-25;-19;37;32;-5;-69;3;-96;71;79;-2;63;-54;-80;-66;-79;-67;59;-95;-34;42;-93;-80;-44;-66
-35;62;86;69;46;65;53;-48;-57;-25;8;-4;-10;96;-15;-92;-62;-96;72;-92;-7;6;-26;40;-51;-46;-46;84;87;-7;-87;64;-17;-89;-10
-53;-88;97;55;26;-5;47;-88;17;-17;-38;-18;96;3;36;66;-8;67;-8;-89;14;5;-65;72;-43;-60;-82;-37;64;-31;-87;43;-28;18;38
-16;46;72;-72;99;-79;73;-100;72;-81;-83;-9;-41;-96;-91;-60;-81;-36;84;-15;-32;52;13;-61;32;-74;-4;86;-25;-58;-37;98;99;-63;-68
43;41;-70;58;95;78;-51;83;53;76;57;-55;1;12;-32;99;97;33;82;43;81;85;-43;1;89;-77;55;25;-37;-83;-73;18;25;39;-4
-54;-77;-68;78;-100;82;-74;26;-51;-25;-46;-64;-85;-6;69;-83;100;-80;41;50;31;78;6;-31;-32;-75;-71;78;-56;-57;26;-58;93;-77;-47
99;-13;-43;-47;75;-25;-62;69;3;-32;-98;64;-62;10;-51;1;-40;-51;12;-37;21;-39;71;-36;57;21;61;52;-86;-96;-10;-44;41;99;98
95;-1;88;60;-13;-26;45;-96;4;-63;51;-8;73;-15;26;81;-9;-78;-20;98;-99;35;98;73;-85;-99;-71;-65;-37;41;53;69;-59;7;51
16;5;88;61;71;-11;-13;62;18;-5;-74;52;-49;-9;33;-53;27;-91;-61;67;43;-88;18;87;-82;20;68;-19;84;40;-36;-62;62;34;80
66;-86;37;80;-50;-16;35;0;31;-82;-10;22;-11;-35;2;37;48;18;-71;65;-41;9;63;34;-56;48;30;87;-14;2;-96;-97;-59;62;-40
-46;11;80;63;66;31;-7;-15;91;-49;92;-88;-38;-76;-97;24;64;16;31;40;76;16;-95;31;84;4;41;-71;45;70;28;-78;13;-5;30
91;18;-17;56;-31;15;-69;-76;29;-19;54;63;-17;-34;-21;-93;-39;-1;74;78;40;9;58;5;-72;39;-5;8;-88;-18;41;81;-23;46;23
89;21;80;-31;-91;62;-24;-48;71;14;93;-4;-67;-84;-97;57;-15;57;-59;52;11;-97;-7;-70;-65;-70;43;74;39;-39;26;8;-33;93;51
-21;69;-35;-46;69;8;44;-82;-34;87;-7;78;7;6;93;95;24;91;30;-69;70;62;89;90;72;-98;-76;-26;-68;-98;-21;41;-19;-86;17
90;-36;-46;-43;-77;-17;92;57;-23;91;17;10;-77;29;-91;62;-14;20;82;-97;40;-1;-45;71;99;-4;86;62;4;66;-51;88;49;18;-84
38;-14;92;-14;-73;79;-4;31;31;-42;14;18;-42;-14;-23;85;-34;55;70;43;-60;63;26;-95;-66;54;-11;-51;-86;-69;-56;-99;71;73;-100
24;-37;43;-87;-39;-48;-78;-80;12;26;-31;-90;15;85;72;-75;-34;22;46;-65;-89;-75;69;41;8;77;82;-74;-77;89;-68;-29;10;3;17
45;-100;64;-86;10;66;97;-6;91;11;14;99;-47;-78;-25;61;-47;22;-12;-64;52;58;-92;-61;-46;-90;70;-3;-99;15;40;-54;49;-74;41
89;94;-25;-29;11;57;58;-82;-28;-84;-59;-76;-39;19;25;-56;-8;-50;10;-83;-10;14;-82;87;-3;11;-56;96;-77;-23;-77;-26;88;-90;-24
26;-34;12;-87;9;-26;-13;96;39;-24;45;38;46;24;-47;46;-35;73;-99;5;-4;-35;59;-23;-60;79;-56;-41;20;55;22;-80;-86;91;-21
-69;63;61;60;88;97;-4;8;-32;-55;23;-39;94;91;4;4;62;93;-85;-35;30;64;52;-61;-56;71;79;-70;60;17;24;-23;-55;-68;-89
-61;-7;-58;-47;87;-25;89;14;94;-98;20;35;17;-29;-75;18;95;5;19;-40;-61;9;-37;52;-20;-39;-25;-21;49;2;-38;-76;99;-2;52
