61;-15;-13;76;-84;26;-61;19;-24;61;-4;-37;23;7;61;3;-32;-30;-25;2;9;50;20;12;-5;-38;69;82;78;-17;-87;-27;88;-62;-63;-64;-57;71;68;70;9;2;81;100;-60;2;73;-98;99;-62
-71;70;73;0;-52;-18;46;-33;-83;49;61;37;89;-62;-31;5;-50;12;92;27;96;99;74;7;50;19;-85;-96;62;-76;-69;-74;-7;43;94;92;68;19;24;-54;-32;11;-92;-39;35;30;-23;-40;66;79
49;-58;-61;43;-53;61;10;82;-77;-20;40;55;96;-74;26;71;-28;-36;32;-82;-62;86;0;64;-64;49;-16;95;-24;96;-58;-60;40;-48;7;24;-1;60;58;32;-98;-37;-32;44;-41;58;89;-83;40;0
-57;45;-21;85;-89;-55;50;-67;-40;77;28;71;-13;-17;9;44;-2;74;29;89;-16;-41;67;-33;-64;-78;-16;55;-61;18;-54;14;75;-41;-45;-33;-87;3;-88;-51;-90;95;36;-91;9;-16;21;-27;77;36
-57;-59;97;-67;21;-59;-32;65;37;70;12;44;-54;70;5;-12;95;64;-53;-50;-62;19;-6;-67;-23;-84;36;-97;63;-53;18;-82;47;-81;78;-68;33;-53;-26;88;-63;40;27;-32;73;-36;90;-43;17;-17
-55;79;-92;17;80;14;48;-21;87;-96;81;-24;-23;-69;2;71;-16;96;72;-23;87;-7;-31;-30;54;-59;-65;21;11;39;-100;58;1;-37;-66;-59;21;-85;-19;71;12;47;73;-66;-63;39;-23;56;59;15
43;-22;-6;-11;20;-41;43;3;-18;-47;20;86;-57;-48;71;-35;78;-51;16;-63;-6;-77;-43;81;-84;6;50;-50;-64;-38;-43;11;34;42;72;-29;19;-24;-19;-83;-1;-20;54;-88;-92;56;-9;70;47;2
23;30;-49;99;6;-59;48;95;-65;55;-73;23;30;-95;87;78;17;-84;-95;-42;-5;80;87;20;-19;8;65;17;20;95;-19;40;37;-2;-81;32;97;16;88;72;67;100;68;-3;1;56;89;82;65;71
-56;2;-34;-79;36;84;8;-15;-73;-3;-99;-48;13;-2;-65;96;-53;-1;-20;15;24;14;38;99;-4;91;4;43;-12;-46;-29;-60;-6;67;54;74;50;68;83;45;-85;-30;66;29;90;55;-100;30;74;-76
-3;99;13;-62;100;-21;19;-43;-70;22;83;51;0;-87;-5;32;19;23;-55;11;14;-40;16;-65;-39;-38;-100;-41;-53;14;96;38;92;-14;-10;45;3;47;-61;4;8;50;-56;57;10;65;-89;77;9;95
-24;-32;73;-26;-18;-7;-89;93;0;-46;-60;22;-11;5;14;-97;92;81;58;63;-19;-50;72;-75;93;-20;-51;29;82;-41;98;-22;73;91;4;0;-5;69;99;77;-67;95;23;-8;-11;69;89;17;-83;-36
-69;2;-22;43;7;7;0;-93;-88;90;21;69;56;83;-26;79;13;-69;41;60;13;28;-73;-5;63;-67;-35;-97;-64;-54;91;-15;48;-20;14;-52;42;-33;59;50;17;-81;-19;22;-15;58;-63;-56;64;2
-19;54;-96;-28;53;38;-89;-98;-45;-11;65;-35;20;76;7;-58;-11;66;98;-39;99;5;99;-42;7;5;70;80;-61;97;2;76;80;67;34;-82;-18;-84;20;80;93;-83;-90;-58;74;-78;-90;-54;90;94
-100;40;-76;-71;62;-24;73;26;-95;50;42;-19;-12;-38;27;78;-46;72;-74;98;0;95;-28;-87;-80;52;-19;45;94;-42;59;26;-47;-66;-80;-46;19;56;97;15;94;-88;91;64;70;-16;-8;98;-59;61
-3;82;-25;41;-34;62;-12;74;0;13;-64;-50;-67;72;-44;88;-26;-31;8;27;6;25;-68;-21;42;-53;-6;-14;46;-85;-93;-1;34;-91;-80;47;83;70;-69;-59;59;-20;35;-93;57;-85;7;-80;-94;-65
81;90;55;-22;14;-67;-76;-47;17;-33;-59;4;-25;13;-37;44;-36;-56;91;-100;-35;42;-62;74;59;31;-36;52;97;-10;-71;-25;92;41;-34;82;4;32;70;-83;84;-28;80;95;-10;60;-12;-31;-96;-69
-25;49;75;-26;85;-53;-57;20;20;-13;-17;-57;10;-16;64;78;-6;100;63;17;68;-64;4;7;43;19;-20;45;-7;-35;4;82;32;17;62;95;-28;10;-4;10;3;-69;94;-10;-78;62;-28;-53;-4;-65
-31;100;-60;-79;48;-73;63;58;-12;87;63;96;-94;-22;-62;38;71;4;44;92;34;53;20;-69;-45;86;-93;-10;-100;-86;84;-2;9;-2;-82;32;58;51;-1;56;-18;-59;-45;-11;92;-27;-89;41;60;-4
72;-11;88;-56;79;15;23;-34;3;52;-61;-12;79;85;-35;-6;-92;33;-13;44;-79;34;40;-32;87;-27;-71;94;33;-15;-85;-71;-82;-1;100;30;-44;48;-81;-50;25;-39;-21;64;53;59;-8;66;-10;65
-87;49;64;-74;-93;-89;48;17;-27;58;49;20;57;40;34;6;-72;-37;23;17;-1;70;24;57;-41;58;55;5;4;41;15;-54;90;-31;59;70;87;79;-49;25;6;-14;-7;-29;-92;77;48;-79;53;2
46;93;2;-98;-33;-15;-62;35;86;90;-23;-28;81;-13;-10;81;83;81;-5;56;-4;-95;-7;65;53;15;-63;-58;-28;69;-97;-79;38;80;23;41;56;-24;9;77;-11;-85;37;-78;34;2;-68;58;-64;15
-72;-2;70;4;-8;-49;33;24;95;-91;-70;79;-94;-7;-25;-20;39;-52;11;-81;-9;92;21;-42;-31;12;31;-82;0;-16;-85;31;-31;-52;-28;-72;99;61;-84;53;-55;56;-90;99;52;89;13;20;-75;-42
