-96;-76;-66;-23;43;-86;41;84;26;-98;24;9;85;54;-89;93;1;-94;46;-90;37;-75;6;-34;75;34;-91;-99;-64;-1;-100;-25;-76;-70;-83;-10;-61;-25;-69;-92;91;96;-85;-31;-6;81;13;-12;46;-88;26;-24;-4;-3;-62;-33;-87;-83;-95;-48;68;71;65;11;-50;49;-86;3;66;23;13;44;90;-15;-41;14;-92;-85;-40;-100;-52;29;60;-51;8;78;-7;-43;-56;-96;-32;-84;46;-46;-68;55;46;-37;62;41
-12;79;90;24;74;-72;-52;-22;-80;95;44;-80;53;96;91;-80;-35;73;87;44;-45;-94;-43;62;-56;71;68;42;-10;-34;62;-74;-3;-47;-22;-61;30;-86;-96;-34;25;61;-36;72;40;34;-34;66;-12;99;-81;-96;16;76;-12;-75;-19;31;-37;-33;1;-98;96;-53;14;64;30;-22;100;58;-7;-28;-48;78;-65;15;-57;20;87;-27;50;-76;-43;-32;-12;-63;100;-4;42;-6;-78;-83;57;-94;26;55;18;-33;79;87
-1;-89;54;99;52;38;57;64;24;53;92;92;-14;4;-95;56;-36;98;91;15;-38;66;-41;85;-25;4;62;77;-56;36;17;-83;-66;4;-15;43;-9;43;19;-27;35;-30;12;86;-21;-29;45;-76;-76;41;-47;-4;87;53;59;15;-100;-19;88;-36;-20;15;-91;44;57;35;66;14;-68;79;-6;67;3;98;-21;1;-92;-49;1;96;-14;6;-63;-96;77;74;42;-8;78;17;99;-81;-51;-24;16;80;-71;13;-57;-74
54;-16;39;-76;91;-71;9;5;49;23;-9;-38;-38;-52;-53;41;70;-39;-74;18;4;-12;-18;91;11;-27;52;8;-53;-38;-22;-73;-17;-28;-95;16;-37;-34;-39;99;88;-99;-53;38;91;-28;60;-63;6;59;83;-43;80;-81;-70;-34;-15;48;20;50;-10;85;95;73;-66;-27;89;82;-31;27;-6;78;-86;-90;-22;19;5;-12;52;-17;-14;1;23;-69;-89;-95;24;99;-86;23;-35;-51;-95;84;89;91;-30;11;-6;21
74;73;-88;47;-31;-28;3;26;-63;54;59;-86;93;29;-9;-57;49;25;48;18;73;-38;-100;94;-55;4;47;13;-98;-45;-91;96;-93;14;-15;-80;54;77;-14;60;-83;32;31;-49;95;32;92;92;-99;67;3;9;52;-4;37;-68;57;80;-42;51;-15;-22;56;-47;85;-99;69;25;-100;60;-9;28;70;78;84;26;-99;-95;69;-77;65;1;-14;93;-45;44;-75;-40;-81;-40;18;68;-6;78;49;-73;33;-92;-46;-20
-89;-4;21;-73;-29;95;50;61;45;50;47;-23;17;-41;-76;78;-75;-89;-24;73;-61;-25;-58;87;-8;-79;-81;-56;-50;-71;71;-62;53;-85;-11;-81;85;40;34;71;15;-71;-62;-3;-69;59;-82;-33;-48;92;-99;51;53;43;-85;93;-27;-70;35;-85;99;76;66;35;-36;-50;-76;29;45;76;-82;-100;-64;6;38;18;-95;-52;42;81;12;30;-100;7;45;-86;91;88;0;68;24;-14;-86;-64;-2;-54;37;-69;43;-90
70;39;38;84;-77;14;12;67;-32;-73;51;-50;73;15;69;-84;-12;-23;100;-81;16;47;-19;18;-26;76;28;-60;89;-39;10;-41;-62;-54;-64;91;17;-95;-68;-36;-26;47;-35;-98;-82;47;-78;84;97;-43;63;8;-62;-55;68;42;0;-71;-48;-47;-55;12;33;74;65;1;22;-70;33;80;68;-3;17;45;-70;96;53;15;-62;-20;-50;100;65;66;22;34;-24;-68;-99;-13;83;-11;-13;-39;26;-35;82;21;36;28
-45;-80;22;57;-70;-22;-88;53;42;-97;12;89;41;-94;86;-11;78;89;49;-3;36;-28;-57;97;-99;81;89;27;95;72;62;-23;-84;63;-21;-22;-19;37;-78;-46;57;-50;-39;-80;-92;-9;-57;-31;82;-14;58;-4;-47;89;-21;29;79;37;-6;-49;2;69;-31;-99;-58;-54;-86;26;22;-70;-65;-40;-23;11;70;-48;-53;-48;-53;-13;-100;-55;-86;64;-89;-82;16;-31;-38;33;9;83;-52;-36;-77;8;64;27;82;-89
41;-93;57;99;20;91;-42;-92;-87;65;42;-42;-73;8;7;57;62;34;24;-82;-9;-69;-37;-33;83;61;-63;13;-21;-73;27;91;96;-94;-70;9;52;-35;-5;33;42;0;47;-96;15;-24;-84;-6;51;-31;-83;24;-23;32;63;-2;-100;55;35;-31;-68;-57;-96;83;3;50;-41;-41;-46;93;-23;49;9;68;73;-77;6;50;93;27;77;-69;-82;68;13;58;-37;83;96;61;78;-51;80;-93;-31;33;17;-4;16;5
-46;29;31;-30;50;-92;96;97;-13;12;51;64;-21;-25;9;26;56;-61;22;-71;7;78;-66;19;13;-72;-97;23;92;-56;-75;5;92;38;88;-58;-36;85;65;9;3;-40;-92;28;-21;70;-4;8;-56;86;4;-4;68;43;-61;-85;5;11;14;49;-43;-65;36;9;-10;-87;-86;89;-83;-48;-23;86;70;-49;-8;-17;-44;40;92;-73;-56;58;-79;43;60;-1;-90;81;97;-28;-17;21;77;33;29;44;-80;-44;-2;-48
